date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
22:40:28	755/755	---MC-	200	added ('OK')	application/rss+xml	date:Thu,%2013%20May%202021%2003:40:27%20GMT	https://doctoralvaropoma.com/comments/feed/	C:/My%20Web%20Sites/test/doctoralvaropoma.com/comments/feed/index.html	(from https://doctoralvaropoma.com/)
22:40:28	15940/15940	---MC-	200	added ('OK')	application/rss+xml	date:Sun,%2025%20Apr%202021%2016:54:55%20GMT	https://doctoralvaropoma.com/feed/	C:/My%20Web%20Sites/test/doctoralvaropoma.com/feed/index.html	(from https://doctoralvaropoma.com/)
22:40:29	946/946	---M--	200	added ('OK')	text/css	date:Sat,%2020%20Mar%202021%2023:33:47%20GMT	https://doctoralvaropoma.com/wp-content/uploads/elementor/css/post-365.css?ver=1616283227	C:/My%20Web%20Sites/test/doctoralvaropoma.com/wp-content/uploads/elementor/css/post-365cb52.css	(from https://doctoralvaropoma.com/)
22:40:34	17859/17859	---M--	200	added ('OK')	text/css	date:Sun,%2025%20Apr%202021%2016:55:21%20GMT	https://doctoralvaropoma.com/wp-content/uploads/elementor/css/post-2.css?ver=1619369721	C:/My%20Web%20Sites/test/doctoralvaropoma.com/wp-content/uploads/elementor/css/post-207a4.css	(from https://doctoralvaropoma.com/)
22:40:36	975292/975292	---M--	200	added ('OK')	text/css	date:Mon,%2030%20Nov%202020%2007:30:21%20GMT	http://doctoralvaropoma.com/wp-content/cache/wpfc-minified/jp5nfvt9/dj6ax.css	C:/My%20Web%20Sites/test/doctoralvaropoma.com/wp-content/cache/wpfc-minified/jp5nfvt9/dj6ax.css	(from https://doctoralvaropoma.com/)
22:40:36	33/33	---M--	200	added ('OK')	text/css	date:Mon,%2030%20Nov%202020%2007:30:20%20GMT	http://doctoralvaropoma.com/wp-content/cache/wpfc-minified/gpfj5b9/dj6aw.css	C:/My%20Web%20Sites/test/doctoralvaropoma.com/wp-content/cache/wpfc-minified/gpfj5b9/dj6aw.css	(from https://doctoralvaropoma.com/)
22:40:37	56487/56487	---M--	200	added ('OK')	text/css	date:Mon,%2030%20Nov%202020%2007:30:20%20GMT	http://doctoralvaropoma.com/wp-content/cache/wpfc-minified/7w3yuqgy/dj6aw.css	C:/My%20Web%20Sites/test/doctoralvaropoma.com/wp-content/cache/wpfc-minified/7w3yuqgy/dj6aw.css	(from https://doctoralvaropoma.com/)
22:40:46	42303/42303	---MC-	200	added ('OK')	application/json	date:Thu,%2013%20May%202021%2003:40:40%20GMT	https://doctoralvaropoma.com/wp-json/wp/v2/pages/2	C:/My%20Web%20Sites/test/doctoralvaropoma.com/wp-json/wp/v2/pages/2.json	(from https://doctoralvaropoma.com/)
22:40:47	834/834	---M--	200	added ('OK')	text/xml	date:Thu,%2013%20May%202021%2003:40:42%20GMT	https://doctoralvaropoma.com/xmlrpc.php?rsd	C:/My%20Web%20Sites/test/doctoralvaropoma.com/xmlrpc0db0.php	(from https://doctoralvaropoma.com/)
22:40:51	105975/105975	---MC-	200	added ('OK')	application/json	date:Thu,%2013%20May%202021%2003:40:41%20GMT	https://doctoralvaropoma.com/wp-json/	C:/My%20Web%20Sites/test/doctoralvaropoma.com/wp-json/index.html	(from https://doctoralvaropoma.com/)
22:40:53	1045/1045	---M--	200	added ('OK')	application/xml	date:Thu,%2012%20Dec%202013%2007:19:12%20GMT	https://doctoralvaropoma.com/wp-includes/wlwmanifest.xml	C:/My%20Web%20Sites/test/doctoralvaropoma.com/wp-includes/wlwmanifest.xml	(from https://doctoralvaropoma.com/)
22:40:54	2250/2250	---MC-	200	added ('OK')	application/json	date:Thu,%2013%20May%202021%2003:40:54%20GMT	https://doctoralvaropoma.com/wp-json/oembed/1.0/embed?url=https%3A%2F%2Fdoctoralvaropoma.com%2F	C:/My%20Web%20Sites/test/doctoralvaropoma.com/wp-json/oembed/1.0/embed8071.json	(from https://doctoralvaropoma.com/)
22:40:55	2343/2343	---MC-	200	added ('OK')	text/xml	date:Thu,%2013%20May%202021%2003:40:55%20GMT	https://doctoralvaropoma.com/wp-json/oembed/1.0/embed?url=https%3A%2F%2Fdoctoralvaropoma.com%2F&format=xml	C:/My%20Web%20Sites/test/doctoralvaropoma.com/wp-json/oembed/1.0/embedde70	(from https://doctoralvaropoma.com/)
22:40:56	13188/13188	---M--	200	added ('OK')	application/javascript	date:Fri,%2013%20Nov%202020%2000:42:03%20GMT	https://doctoralvaropoma.com/wp-content/themes/porto/js/libs/webfont.js	C:/My%20Web%20Sites/test/doctoralvaropoma.com/wp-content/themes/porto/js/libs/webfont.js	(from https://doctoralvaropoma.com/)
22:40:56	1560/1560	---M--	200	added ('OK')	image/jpeg	date:Tue,%2017%20Nov%202020%2001:46:05%20GMT	https://doctoralvaropoma.com/wp-content/uploads/2020/11/cropped-logo-mini-32x32.jpg	C:/My%20Web%20Sites/test/doctoralvaropoma.com/wp-content/uploads/2020/11/cropped-logo-mini-32x32.jpg	(from https://doctoralvaropoma.com/)
22:41:00	63670/63670	---MCZ	200	added ('OK')	text/html	date:Thu,%2013%20May%202021%2003:40:59%20GMT	https://doctoralvaropoma.com/departments/	C:/My%20Web%20Sites/test/doctoralvaropoma.com/departments/index.html	(from https://doctoralvaropoma.com/)
22:41:01	2396/2396	---M--	200	added ('OK')	image/png	date:Fri,%2020%20Nov%202020%2023:20:43%20GMT	https://doctoralvaropoma.com/wp-content/uploads/2020/11/logo-de-fracruras.png	C:/My%20Web%20Sites/test/doctoralvaropoma.com/wp-content/uploads/2020/11/logo-de-fracruras.png	(from https://doctoralvaropoma.com/)
22:41:01	29223/29223	---M--	200	added ('OK')	image/jpeg	date:Tue,%2017%20Nov%202020%2001:56:02%20GMT	http://doctoralvaropoma.com/wp-content/uploads/2020/11/logo-3.jpg	C:/My%20Web%20Sites/test/doctoralvaropoma.com/wp-content/uploads/2020/11/logo-3.jpg	(from https://doctoralvaropoma.com/)
22:41:02	2293/2293	---M--	200	added ('OK')	image/png	date:Fri,%2020%20Nov%202020%2023:22:03%20GMT	https://doctoralvaropoma.com/wp-content/uploads/2020/11/logo-protesis.png	C:/My%20Web%20Sites/test/doctoralvaropoma.com/wp-content/uploads/2020/11/logo-protesis.png	(from https://doctoralvaropoma.com/)
22:41:04	48987/48987	---M-Z	200	added ('OK')	text/html	date:Thu,%2013%20May%202021%2003:41:03%20GMT	https://doctoralvaropoma.com/author/admin/	C:/My%20Web%20Sites/test/doctoralvaropoma.com/author/admin/index.html	(from https://doctoralvaropoma.com/)
22:41:05	53585/53585	---M--	200	added ('OK')	image/jpeg	date:Thu,%2014%20Jan%202021%2021:09:25%20GMT	http://doctoralvaropoma.com/wp-content/uploads/2021/01/IMG-20201209-WA00071.jpg	C:/My%20Web%20Sites/test/doctoralvaropoma.com/wp-content/uploads/2021/01/IMG-20201209-WA00071.jpg	(from https://doctoralvaropoma.com/)
22:41:05	4115/4115	---M--	200	added ('OK')	image/png	date:Fri,%2020%20Nov%202020%2023:19:22%20GMT	https://doctoralvaropoma.com/wp-content/uploads/2020/11/logo-lesiones-deportivas.png	C:/My%20Web%20Sites/test/doctoralvaropoma.com/wp-content/uploads/2020/11/logo-lesiones-deportivas.png	(from https://doctoralvaropoma.com/)
22:41:06	61501/61501	---MCZ	200	added ('OK')	text/html	date:Thu,%2013%20May%202021%2003:41:02%20GMT	https://doctoralvaropoma.com/contact-us/	C:/My%20Web%20Sites/test/doctoralvaropoma.com/contact-us/index.html	(from https://doctoralvaropoma.com/)
22:41:06	4083/4083	---M--	200	added ('OK')	image/jpeg	date:Tue,%2017%20Nov%202020%2001:46:01%20GMT	https://doctoralvaropoma.com/wp-content/uploads/2020/11/logo-mini-150x150.jpg	C:/My%20Web%20Sites/test/doctoralvaropoma.com/wp-content/uploads/2020/11/logo-mini-150x150.jpg	(from https://doctoralvaropoma.com/)
22:41:07	2610/2610	---M--	200	added ('OK')	application/javascript	date:Fri,%2013%20Nov%202020%2000:50:02%20GMT	https://doctoralvaropoma.com/wp-content/plugins/porto-functionality/shortcodes/assets/js/countup.min.js	C:/My%20Web%20Sites/test/doctoralvaropoma.com/wp-content/plugins/porto-functionality/shortcodes/assets/js/countup.min.js	(from https://doctoralvaropoma.com/)
22:41:09	44239/44239	---M--	200	added ('OK')	image/jpeg	date:Wed,%2018%20Nov%202020%2015:43:34%20GMT	https://doctoralvaropoma.com/wp-content/uploads/2020/11/slide-6-768x398.jpg	C:/My%20Web%20Sites/test/doctoralvaropoma.com/wp-content/uploads/2020/11/slide-6-768x398.jpg	(from https://doctoralvaropoma.com/)
22:41:11	1074/1074	---M--	200	added ('OK')	application/javascript	date:Fri,%2013%20Nov%202020%2000:50:02%20GMT	https://doctoralvaropoma.com/wp-content/plugins/porto-functionality/shortcodes/assets/js/countup-loader.min.js	C:/My%20Web%20Sites/test/doctoralvaropoma.com/wp-content/plugins/porto-functionality/shortcodes/assets/js/countup-loader.min.js	(from https://doctoralvaropoma.com/)
22:41:23	74324/74324	---M--	200	added ('OK')	image/jpeg	date:Sun,%2006%20Dec%202020%2023:37:53%20GMT	https://doctoralvaropoma.com/wp-content/uploads/2020/12/20201206_1837191.jpg	C:/My%20Web%20Sites/test/doctoralvaropoma.com/wp-content/uploads/2020/12/20201206_1837191.jpg	(from https://doctoralvaropoma.com/)
22:41:24	99958/99958	---M--	200	added ('OK')	image/jpeg	date:Tue,%2017%20Nov%202020%2023:30:14%20GMT	https://doctoralvaropoma.com/wp-content/uploads/2020/11/bvbv.jpg	C:/My%20Web%20Sites/test/doctoralvaropoma.com/wp-content/uploads/2020/11/bvbv.jpg	(from https://doctoralvaropoma.com/)
22:41:26	16168/16168	---M--	200	added ('OK')	image/png	date:Wed,%2018%20Nov%202020%2005:39:52%20GMT	https://doctoralvaropoma.com/wp-content/uploads/2020/11/essalud.png	C:/My%20Web%20Sites/test/doctoralvaropoma.com/wp-content/uploads/2020/11/essalud.png	(from https://doctoralvaropoma.com/)
22:41:26	551901/551901	---M--	200	added ('OK')	application/javascript	date:Mon,%2030%20Nov%202020%2007:30:21%20GMT	http://doctoralvaropoma.com/wp-content/cache/wpfc-minified/2murqvw0/dj6ax.js	C:/My%20Web%20Sites/test/doctoralvaropoma.com/wp-content/cache/wpfc-minified/2murqvw0/dj6ax.js	(from https://doctoralvaropoma.com/)
22:41:26	15662/15662	---M--	200	added ('OK')	image/png	date:Wed,%2018%20Nov%202020%2005:39:53%20GMT	https://doctoralvaropoma.com/wp-content/uploads/2020/11/novoclinic.png	C:/My%20Web%20Sites/test/doctoralvaropoma.com/wp-content/uploads/2020/11/novoclinic.png	(from https://doctoralvaropoma.com/)
22:41:26	141894/141894	---M--	200	added ('OK')	image/jpeg	date:Sun,%2006%20Dec%202020%2023:30:42%20GMT	https://doctoralvaropoma.com/wp-content/uploads/2020/12/20201206_1829281.jpg	C:/My%20Web%20Sites/test/doctoralvaropoma.com/wp-content/uploads/2020/12/20201206_1829281.jpg	(from https://doctoralvaropoma.com/)
22:41:26	11054/11054	---M--	200	added ('OK')	image/png	date:Wed,%2018%20Nov%202020%2005:34:34%20GMT	https://doctoralvaropoma.com/wp-content/uploads/2020/11/clinica-san-juan-bautista.png	C:/My%20Web%20Sites/test/doctoralvaropoma.com/wp-content/uploads/2020/11/clinica-san-juan-bautista.png	(from https://doctoralvaropoma.com/)
22:41:27	36300/36300	---M--	200	added ('OK')	image/png	date:Tue,%2017%20Nov%202020%2022:03:34%20GMT	https://doctoralvaropoma.com/wp-content/uploads/2020/11/logo-blanco-2.png	C:/My%20Web%20Sites/test/doctoralvaropoma.com/wp-content/uploads/2020/11/logo-blanco-2.png	(from https://doctoralvaropoma.com/)
22:41:29	5629/5629	---M--	200	added ('OK')	application/javascript	date:Sun,%2014%20Jun%202020%2005:23:28%20GMT	https://doctoralvaropoma.com/wp-includes/js/imagesloaded.min.js?ver=4.1.4	C:/My%20Web%20Sites/test/doctoralvaropoma.com/wp-includes/js/imagesloaded.mineda1.js	(from https://doctoralvaropoma.com/)
22:41:29	12383/12383	---M--	200	added ('OK')	image/png	date:Fri,%2013%20Nov%202020%2000:42:03%20GMT	http://doctoralvaropoma.com/wp-content/themes/porto/images/payments.png	C:/My%20Web%20Sites/test/doctoralvaropoma.com/wp-content/themes/porto/images/payments.png	(from https://doctoralvaropoma.com/)
22:41:29	24138/24138	---M--	200	added ('OK')	application/javascript	date:Sun,%2014%20Jun%202020%2005:23:28%20GMT	https://doctoralvaropoma.com/wp-includes/js/masonry.min.js?ver=4.2.2	C:/My%20Web%20Sites/test/doctoralvaropoma.com/wp-includes/js/masonry.min3a05.js	(from https://doctoralvaropoma.com/)
22:41:29	15116/15116	---M--	200	added ('OK')	application/javascript	date:Fri,%2013%20Nov%202020%2000:42:03%20GMT	https://doctoralvaropoma.com/wp-content/themes/porto/inc/lib/live-search/live-search.js?ver=5.5.1	C:/My%20Web%20Sites/test/doctoralvaropoma.com/wp-content/themes/porto/inc/lib/live-search/live-searchd03b.js	(from https://doctoralvaropoma.com/)
22:41:29	5838/5838	---M--	200	added ('OK')	application/javascript	date:Sat,%2021%20Nov%202020%2001:42:13%20GMT	https://doctoralvaropoma.com/wp-content/plugins/creame-whatsapp-me/public/js/joinchat.min.js?ver=4.1.2	C:/My%20Web%20Sites/test/doctoralvaropoma.com/wp-content/plugins/creame-whatsapp-me/public/js/joinchat.min8aee.js	(from https://doctoralvaropoma.com/)
22:41:29	2984/2984	---M--	200	added ('OK')	application/javascript	date:Thu,%2015%20Apr%202021%2023:15:18%20GMT	https://doctoralvaropoma.com/wp-includes/js/comment-reply.min.js?ver=5.5.4	C:/My%20Web%20Sites/test/doctoralvaropoma.com/wp-includes/js/comment-reply.min7e15.js	(from https://doctoralvaropoma.com/)
22:41:30	18998/18998	---M--	200	added ('OK')	application/javascript	date:Fri,%2013%20Nov%202020%2000:42:03%20GMT	https://doctoralvaropoma.com/wp-content/themes/porto/js/libs/popper.min.js?ver=1.12.5	C:/My%20Web%20Sites/test/doctoralvaropoma.com/wp-content/themes/porto/js/libs/popper.min5392.js	(from https://doctoralvaropoma.com/)
22:41:30	1278/1278	---M--	200	added ('OK')	application/javascript	date:Fri,%2013%20Nov%202020%2000:42:03%20GMT	https://doctoralvaropoma.com/wp-content/themes/porto/js/libs/jquery.cookie.min.js?ver=1.4.1	C:/My%20Web%20Sites/test/doctoralvaropoma.com/wp-content/themes/porto/js/libs/jquery.cookie.min330a.js	(from https://doctoralvaropoma.com/)
22:41:30	127670/127670	---M--	200	added ('OK')	application/javascript	date:Fri,%2013%20Nov%202020%2000:42:03%20GMT	https://doctoralvaropoma.com/wp-content/themes/porto/js/bootstrap.js?ver=4.1.3	C:/My%20Web%20Sites/test/doctoralvaropoma.com/wp-content/themes/porto/js/bootstrapa352.js	(from https://doctoralvaropoma.com/)
22:41:30	44234/44234	---M--	200	added ('OK')	application/javascript	date:Fri,%2013%20Nov%202020%2000:42:03%20GMT	https://doctoralvaropoma.com/wp-content/themes/porto/js/libs/owl.carousel.min.js?ver=2.3.4	C:/My%20Web%20Sites/test/doctoralvaropoma.com/wp-content/themes/porto/js/libs/owl.carousel.min531b.js	(from https://doctoralvaropoma.com/)
22:41:30	1509/1509	---M--	200	added ('OK')	application/javascript	date:Fri,%2013%20Nov%202020%2000:42:03%20GMT	https://doctoralvaropoma.com/wp-content/themes/porto/js/libs/jquery.fitvids.min.js?ver=1.1	C:/My%20Web%20Sites/test/doctoralvaropoma.com/wp-content/themes/porto/js/libs/jquery.fitvids.min4963.js	(from https://doctoralvaropoma.com/)
22:41:31	2899/2899	---M--	200	added ('OK')	application/javascript	date:Fri,%2013%20Nov%202020%2000:42:03%20GMT	https://doctoralvaropoma.com/wp-content/themes/porto/js/libs/jquery.matchHeight.min.js	C:/My%20Web%20Sites/test/doctoralvaropoma.com/wp-content/themes/porto/js/libs/jquery.matchHeight.min.js	(from https://doctoralvaropoma.com/)
22:41:31	9732/9732	---M--	200	added ('OK')	application/javascript	date:Fri,%2013%20Nov%202020%2000:42:03%20GMT	https://doctoralvaropoma.com/wp-content/themes/porto/js/libs/modernizr.js?ver=2.8.3	C:/My%20Web%20Sites/test/doctoralvaropoma.com/wp-content/themes/porto/js/libs/modernizrf7ff.js	(from https://doctoralvaropoma.com/)
22:41:31	20216/20216	---M--	200	added ('OK')	application/javascript	date:Fri,%2013%20Nov%202020%2000:42:03%20GMT	https://doctoralvaropoma.com/wp-content/themes/porto/js/libs/jquery.magnific-popup.min.js?ver=1.1.0	C:/My%20Web%20Sites/test/doctoralvaropoma.com/wp-content/themes/porto/js/libs/jquery.magnific-popup.minf488.js	(from https://doctoralvaropoma.com/)
22:41:31	1768/1768	---M--	200	added ('OK')	application/javascript	date:Fri,%2013%20Nov%202020%2000:42:03%20GMT	https://doctoralvaropoma.com/wp-content/themes/porto/js/libs/jquery.waitforimages.min.js?ver=2.0.2	C:/My%20Web%20Sites/test/doctoralvaropoma.com/wp-content/themes/porto/js/libs/jquery.waitforimages.min4c56.js	(from https://doctoralvaropoma.com/)
22:41:32	166230/166230	---M--	200	added ('OK')	application/javascript	date:Fri,%2013%20Nov%202020%2000:42:03%20GMT	https://doctoralvaropoma.com/wp-content/themes/porto/js/theme.js?ver=5.5.1	C:/My%20Web%20Sites/test/doctoralvaropoma.com/wp-content/themes/porto/js/themed03b.js	(from https://doctoralvaropoma.com/)
22:41:32	37094/37094	---M--	200	added ('OK')	application/javascript	date:Fri,%2013%20Nov%202020%2000:42:03%20GMT	https://doctoralvaropoma.com/wp-content/themes/porto/js/theme-async.js?ver=5.5.1	C:/My%20Web%20Sites/test/doctoralvaropoma.com/wp-content/themes/porto/js/theme-asyncd03b.js	(from https://doctoralvaropoma.com/)
22:41:32	1426/1426	---M--	200	added ('OK')	application/javascript	date:Thu,%2015%20Apr%202021%2023:15:18%20GMT	https://doctoralvaropoma.com/wp-includes/js/wp-embed.min.js?ver=5.5.4	C:/My%20Web%20Sites/test/doctoralvaropoma.com/wp-includes/js/wp-embed.min7e15.js	(from https://doctoralvaropoma.com/)
22:41:32	2610/2610	---M--	200	added ('OK')	application/javascript	date:Fri,%2013%20Nov%202020%2000:50:02%20GMT	https://doctoralvaropoma.com/wp-content/plugins/porto-functionality/shortcodes/assets/js/countup.min.js?ver=5.5.4	C:/My%20Web%20Sites/test/doctoralvaropoma.com/wp-content/plugins/porto-functionality/shortcodes/assets/js/countup.min7e15.js	(from https://doctoralvaropoma.com/)
22:41:32	1074/1074	---M--	200	added ('OK')	application/javascript	date:Fri,%2013%20Nov%202020%2000:50:02%20GMT	https://doctoralvaropoma.com/wp-content/plugins/porto-functionality/shortcodes/assets/js/countup-loader.min.js?ver=5.5.4	C:/My%20Web%20Sites/test/doctoralvaropoma.com/wp-content/plugins/porto-functionality/shortcodes/assets/js/countup-loader.min7e15.js	(from https://doctoralvaropoma.com/)
22:41:33	4626/4626	---M--	200	added ('OK')	application/javascript	date:Sat,%2020%20Mar%202021%2014:51:28%20GMT	https://doctoralvaropoma.com/wp-content/plugins/elementor/assets/js/webpack.runtime.min.js?ver=3.1.4	C:/My%20Web%20Sites/test/doctoralvaropoma.com/wp-content/plugins/elementor/assets/js/webpack.runtime.minaeb9.js	(from https://doctoralvaropoma.com/)
22:41:33	64914/64914	---M--	200	added ('OK')	application/javascript	date:Sat,%2020%20Mar%202021%2014:51:28%20GMT	https://doctoralvaropoma.com/wp-content/plugins/elementor/assets/js/frontend-modules.min.js?ver=3.1.4	C:/My%20Web%20Sites/test/doctoralvaropoma.com/wp-content/plugins/elementor/assets/js/frontend-modules.minaeb9.js	(from https://doctoralvaropoma.com/)
22:41:33	6595/6595	---M--	200	added ('OK')	application/javascript	date:Tue,%2017%20Nov%202020%2003:15:26%20GMT	https://doctoralvaropoma.com/wp-content/plugins/elementor-pro/assets/lib/sticky/jquery.sticky.min.js?ver=3.0.6	C:/My%20Web%20Sites/test/doctoralvaropoma.com/wp-content/plugins/elementor-pro/assets/lib/sticky/jquery.sticky.min7c45.js	(from https://doctoralvaropoma.com/)
22:41:33	172226/172226	---M--	200	added ('OK')	application/javascript	date:Tue,%2017%20Nov%202020%2003:15:26%20GMT	https://doctoralvaropoma.com/wp-content/plugins/elementor-pro/assets/js/frontend.min.js?ver=3.0.6	C:/My%20Web%20Sites/test/doctoralvaropoma.com/wp-content/plugins/elementor-pro/assets/js/frontend.min7c45.js	(from https://doctoralvaropoma.com/)
22:41:33	6438/6438	---M--	200	added ('OK')	application/javascript	date:Thu,%2015%20Apr%202021%2023:15:18%20GMT	https://doctoralvaropoma.com/wp-includes/js/jquery/ui/position.min.js?ver=1.11.4	C:/My%20Web%20Sites/test/doctoralvaropoma.com/wp-includes/js/jquery/ui/position.mine899.js	(from https://doctoralvaropoma.com/)
22:41:34	10863/10863	---M--	200	added ('OK')	application/javascript	date:Sat,%2020%20Mar%202021%2014:51:29%20GMT	https://doctoralvaropoma.com/wp-content/plugins/elementor/assets/lib/dialog/dialog.min.js?ver=4.8.1	C:/My%20Web%20Sites/test/doctoralvaropoma.com/wp-content/plugins/elementor/assets/lib/dialog/dialog.mina288.js	(from https://doctoralvaropoma.com/)
22:41:34	12198/12198	---M--	200	added ('OK')	application/javascript	date:Sat,%2020%20Mar%202021%2014:51:28%20GMT	https://doctoralvaropoma.com/wp-content/plugins/elementor/assets/lib/waypoints/waypoints.min.js?ver=4.0.2	C:/My%20Web%20Sites/test/doctoralvaropoma.com/wp-content/plugins/elementor/assets/lib/waypoints/waypoints.min05da.js	(from https://doctoralvaropoma.com/)
22:41:34	2578/2578	---M--	200	added ('OK')	application/javascript	date:Sat,%2020%20Mar%202021%2014:51:29%20GMT	https://doctoralvaropoma.com/wp-content/plugins/elementor/assets/lib/share-link/share-link.min.js?ver=3.1.4	C:/My%20Web%20Sites/test/doctoralvaropoma.com/wp-content/plugins/elementor/assets/lib/share-link/share-link.minaeb9.js	(from https://doctoralvaropoma.com/)
22:41:34	139153/139153	---M--	200	added ('OK')	application/javascript	date:Sat,%2020%20Mar%202021%2014:51:28%20GMT	https://doctoralvaropoma.com/wp-content/plugins/elementor/assets/lib/swiper/swiper.min.js?ver=5.3.6	C:/My%20Web%20Sites/test/doctoralvaropoma.com/wp-content/plugins/elementor/assets/lib/swiper/swiper.min48f5.js	(from https://doctoralvaropoma.com/)
22:41:35	81210/81210	---M--	200	added ('OK')	application/javascript	date:Sat,%2020%20Mar%202021%2014:51:28%20GMT	https://doctoralvaropoma.com/wp-content/plugins/elementor/assets/js/frontend.min.js?ver=3.1.4	C:/My%20Web%20Sites/test/doctoralvaropoma.com/wp-content/plugins/elementor/assets/js/frontend.minaeb9.js	(from https://doctoralvaropoma.com/)
22:41:36	38029/38029	---M--	200	added ('OK')	application/javascript	date:Sat,%2020%20Mar%202021%2014:51:28%20GMT	https://doctoralvaropoma.com/wp-content/plugins/elementor/assets/js/preloaded-elements-handlers.min.js?ver=3.1.4	C:/My%20Web%20Sites/test/doctoralvaropoma.com/wp-content/plugins/elementor/assets/js/preloaded-elements-handlers.minaeb9.js	(from https://doctoralvaropoma.com/)
22:41:37	38361/38361	---M-Z	404	error ('Not%20Found')	text/html	date:Thu,%2013%20May%202021%2003:41:36%20GMT	http://doctoralvaropoma.com/wp-content/plugins/blogmentor/assets/webfonts/fa-brands-400.eot	C:/My%20Web%20Sites/test/doctoralvaropoma.com/wp-content/plugins/blogmentor/assets/webfonts/fa-brands-400.47.delayed	(from http://doctoralvaropoma.com/wp-content/cache/wpfc-minified/jprauhnq/dj6ax.css)
22:41:37	12136/12136	---M--	200	added ('OK')	application/vnd.ms-fontobject	date:Fri,%2013%20Nov%202020%2000:49:54%20GMT	http://doctoralvaropoma.com/wp-content/plugins/revslider/public/assets/fonts/revicons/revicons.eot?5510888	C:/My%20Web%20Sites/test/doctoralvaropoma.com/wp-content/plugins/revslider/public/assets/fonts/revicons/revicons90c6.eot	(from http://doctoralvaropoma.com/wp-content/cache/wpfc-minified/jprauhnq/dj6ax.css)
